startdate, enddate,title,institute,city,country,link,description,bibtex,inresume
01/2025,12/2027,PhD Supervisor Lauri Vuorenkoski, University of Helisinki, Helsinki, Finland,,,,y
01/2025,12/2027,PhD Supervisor Aakash Ravindra Shinde, University of Helisinki, Helsinki, Finland,,,,y
09/2024,12/2024,Supervisor bachelor thesis projects, University of Helisinki, Helsinki, Finland,,,,y
08/2024,now, Supervisor of various Master thesis projects, University of Helisinki, Helsinki, Finland,,,,y
01/2024,04/2024,TA Intruduction to the progamming of quantum computers, University of Helsinki, Helsinki, Finland,,Giving lectures and grading assigments,,y
01/2022,06/2022,TA Intruduction to the progamming of quantum computers, University of Helsinki, Helsinki, Finland,,Grading assigments,,y
01/2019,06/2019,Teaching assistant Combinatorics,Radboud University,Nijmegen,the Netherlands,,Helping students with exercises and grading them.,,y
01/2019, 06/2019,Teaching assistant Calculus and Probability,Radboud University,Nijmegen,the Netherlands,,Helping students with exercises and grading them.,,y
01/2019, 06/2019,Teaching assistant Representation and Interaction,Radboud University,Nijmegen,the Netherlands,,Helping students with exercises and grading them (Prolog).,,y
09/2014, 11/2014,Internship computer science teacher,Zernike College,Haren,the Netherlands,http://www.harenslyceum.nl/index.html,Full time teacher of computer science in high school (1/2 VWO and 4 havo/VWO).,,y
09/2009, 06/2016,Tutor mathematics and computer science,,,the Netherlands,,Remedial teaching in maths and programming as freelancer.,,
